"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",-0.34231029,
"NOR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",1.333405983,
"NOR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.042800945,
"NOR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",2.391420254,
"NOR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.195269235,
"NOR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",-1.200870503,
"NOR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.675341754,
"NOR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.247235325,
"NOR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.597176468,
"NOR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.81194742,
"NOR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",-0.146927627,
"NOR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.702824477,
"NOR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.61156817,
"NOR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.348118735,
"NOR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",1.013584544,
"NOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.130743917,
"NOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.438641191,
"NOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.97060165,
"NOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.728739541,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.461862746,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.031826576,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",-0.306989704,
"NOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.339357221,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.133172181,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.96350519,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.68525753,
"NOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.569707767,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.490055857,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.30071616,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.630022877,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.033728773,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.443183799,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.859985649,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.568182357,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.828971854,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.953959615,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.186622844,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.611404688,
